Player,Nation,Position,Age,90s,TotalCmp,TotalAtt,TotalCmp%,TotDist,TotalPrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Alisson,br BRA,GK,31-056,13.0,460,547,84.1,10269,6508,118,119,99.2,255,260,98.1,86,165,52.1,0,0.0,0.0,0.0,1,6,0,0,1,Matches
Mohamed Salah,eg EGY,FW,31-165,12.6,319,427,74.7,4654,1335,181,212,85.4,109,146,74.7,15,29,51.7,5,5.5,3.5,-0.5,29,24,25,4,60,Matches
Dominik Szoboszlai,hu HUN,MF,23-033,12.5,696,822,84.7,11307,2850,364,400,91.0,249,285,87.4,59,91,64.8,2,3.9,2.9,-1.9,29,52,18,5,88,Matches
Alexis Mac Allister,ar ARG,MF,24-338,10.7,668,759,88.0,10697,2979,329,364,90.4,277,298,93.0,42,63,66.7,1,0.4,1.1,+0.6,8,53,12,0,75,Matches
Virgil van Dijk,nl NED,DF,32-142,10.3,713,779,91.5,14109,5657,258,276,93.5,370,385,96.1,81,105,77.1,2,1.0,0.3,+1.0,6,54,2,0,51,Matches
Trent Alexander-Arnold,eng ENG,DF,25-051,9.6,574,747,76.8,10972,4433,265,283,93.6,211,262,80.5,87,180,48.3,1,2.4,1.8,-1.4,19,63,18,3,65,Matches
Andrew Robertson,sct SCO,DF,29-261,8.0,485,587,82.6,8445,2846,224,237,94.5,208,241,86.3,49,86,57.0,0,1.0,1.0,-1.0,19,42,4,3,49,Matches
Joël Matip,cm CMR,DF,32-111,7.9,442,507,87.2,7717,2688,177,194,91.2,229,257,89.1,30,43,69.8,0,0.1,0.1,-0.1,2,22,2,0,26,Matches
Luis Díaz,co COL,"FW,MF",26-318,7.5,213,271,78.6,3163,688,131,151,86.8,60,77,77.9,14,20,70.0,0,0.7,1.1,-0.7,7,14,8,0,21,Matches
Diogo Jota,pt POR,"FW,MF",26-358,7.0,169,222,76.1,2374,554,105,128,82.0,52,63,82.5,7,9,77.8,0,0.7,0.6,-0.7,12,8,5,0,14,Matches
Darwin Núñez,uy URU,FW,24-156,7.6,129,176,73.3,1781,415,75,94,79.8,42,55,76.4,5,11,45.5,4,1.9,1.0,+2.1,8,12,15,0,28,Matches
Cody Gakpo,nl NED,"MF,FW",24-204,5.3,108,142,76.1,1522,491,61,72,84.7,41,54,75.9,3,5,60.0,0,0.2,0.3,-0.2,4,15,7,0,23,Matches
Joe Gomez,eng ENG,DF,26-188,5.6,373,429,86.9,6522,1643,164,178,92.1,178,195,91.3,26,37,70.3,0,0.2,0.1,-0.2,7,16,3,2,26,Matches
Ibrahima Konaté,fr FRA,DF,24-186,5.2,399,432,92.4,6861,2893,149,159,93.7,215,223,96.4,25,37,67.6,0,0.2,0.1,-0.2,2,38,2,0,34,Matches
Curtis Jones,eng ENG,MF,22-301,3.7,202,216,93.5,2876,600,121,125,96.8,69,75,92.0,5,7,71.4,0,0.0,0.1,0.0,0,21,1,0,21,Matches
Kostas Tsimikas,gr GRE,DF,27-199,4.0,222,284,78.2,3922,994,103,118,87.3,90,114,78.9,23,40,57.5,2,0.6,0.8,+1.4,7,8,5,3,19,Matches
Ryan Gravenberch,nl NED,MF,21-195,3.4,115,131,87.8,1604,563,66,76,86.8,43,47,91.5,1,1,100.0,0,0.3,0.3,-0.3,4,8,6,0,26,Matches
Wataru Endo,jp JPN,MF,30-291,2.4,113,132,85.6,1764,581,54,60,90.0,52,58,89.7,5,6,83.3,0,0.0,0.0,0.0,0,17,1,0,9,Matches
Harvey Elliott,eng ENG,MF,20-237,3.0,150,176,85.2,2345,588,82,89,92.1,53,58,91.4,11,17,64.7,1,0.8,1.1,+0.2,5,12,9,1,23,Matches
Jarrell Quansah,eng ENG,DF,20-302,1.3,107,114,93.9,1809,729,44,46,95.7,57,59,96.6,4,6,66.7,0,0.0,0.0,0.0,0,2,0,0,6,Matches
Ben Doak,sct SCO,FW,18-016,0.2,4,4,100.0,45,8,4,4,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
James McConnell,eng ENG,MF,19-075,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
